rnb1kb1r/ppp1pppp/4qn2/8/3Pp3/2N1B3/PPP1NPPP/R2QKB1R,b,6,c7c6,10,Nc6,616
rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR,b,3,c6c5,32,e6,93
rnbqkbnr/pp3ppp/2p1p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR,w,4,f1d3,93,c4,24
rnbqkbnr/pp3ppp/2p1p3/3pP3/2PP4/8/PP3PPP/RNBQKBNR,b,4,c6c5,24,Nd7,113
r1bqkbnr/pp1n1ppp/2p1p3/3pP3/2PP4/8/PP3PPP/RNBQKBNR,w,5,b1c3,113,c5,-75
r1bqkbnr/pp1n1ppp/2p1p3/2PpP3/3P4/8/PP3PPP/RNBQKBNR,b,5,b7b6,-75,b6,-34
r1bqkbnr/p2n1ppp/1pp1p3/2PpP3/3P4/8/PP3PPP/RNBQKBNR,w,6,c5b6,-34,b4,-130
r1bqkbnr/p2n1ppp/1pp1p3/2PpP3/1P1P4/8/P4PPP/RNBQKBNR,b,6,a7a5,-130,bxc5,123
rnbqkbnr/pp2pppp/2p5/3p4/3P4/2N1P3/PPP2PPP/R1BQKBNR,b,3,g8f6,-20,Nd7,13
r1bqkbnr/pp1npppp/2p5/3p4/3P4/2N1P3/PPP2PPP/R1BQKBNR,w,4,e3e4,13,Be2,-42
r1bqkbnr/pp1npppp/2p5/3p4/3P4/2N1P3/PPP1BPPP/R1BQK1NR,b,4,g8f6,-42,e5,-7
r1bqkbnr/pp1n1ppp/2p5/3pp3/3P4/2N1P3/PPP1BPPP/R1BQK1NR,w,5,e3e4,-7,Nf3,-189
r1bqkbnr/pp1n1ppp/2p5/3pp3/3P4/2N1PN2/PPP1BPPP/R1BQK2R,b,5,e5e4,-189,Ne7,126
r1bqkb1r/pp1nnppp/2p5/3pp3/3P4/2N1PN2/PPP1BPPP/R1BQK2R,w,6,d4e5,126,dxe5,130
r1bqkb1r/pp1nnppp/2p5/3pP3/8/2N1PN2/PPP1BPPP/R1BQK2R,b,6,d8c7,130,f6,219
rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PPP2PPP/RNBQKBNR,b,3,c6d5,28,cxd5,33
rnbqkbnr/pp2pppp/8/3p4/3P4/8/PPP2PPP/RNBQKBNR,w,4,g1f3,33,Nf3,25
rnbqkbnr/pp2pppp/8/3p4/3P4/5N2/PPP2PPP/RNBQKB1R,b,4,g8f6,25,e5,234
rnbqkbnr/pp3ppp/8/3pp3/3P4/5N2/PPP2PPP/RNBQKB1R,w,5,f1b5,234,dxe5,198
rnbqkbnr/pp3ppp/8/3pP3/8/5N2/PPP2PPP/RNBQKB1R,b,5,b8c6,198,Nc6,205
r1bqkbnr/pp3ppp/2n5/3pP3/8/5N2/PPP2PPP/RNBQKB1R,w,6,f1d3,205,Bg5,152
