fen_idx,fen,time,score_avg,elo_est,diff_max,diff_avg,depth_avg,nodes_avg,%_same_move
20,r2qr1k1/p1p2ppp/1bp2n2/1P6/8/P3N3/2P1QPPP/R1B2RK1 b -,0.2,-134,1700,26,6.0,16.0,202667,90.0
20,r2qr1k1/p1p2ppp/1bp2n2/1P6/8/P3N3/2P1QPPP/R1B2RK1 b -,1.0,-139.0,2200,28,7.0,22.0,955036,100.0
20,r2qr1k1/p1p2ppp/1bp2n2/1P6/8/P3N3/2P1QPPP/R1B2RK1 b -,3.0,-135,2700,28,7.0,27.0,2815480,90.0
20,r2qr1k1/p1p2ppp/1bp2n2/1P6/8/P3N3/2P1QPPP/R1B2RK1 b -,20.0,-136.0,2950,16,4.0,34.0,21200428,100.0
21,r2qr1k1/p1p2ppp/1b3n2/1p6/8/P3N3/2P1QPPP/R1B2RK1 w -,0.2,-134.0,2400,16,4.0,24.0,261630,100.0
21,r2qr1k1/p1p2ppp/1b3n2/1p6/8/P3N3/2P1QPPP/R1B2RK1 w -,1.0,-127.0,2700,16,4.0,27.0,1231081,100.0
21,r2qr1k1/p1p2ppp/1b3n2/1p6/8/P3N3/2P1QPPP/R1B2RK1 w -,3.0,-125.0,2800,27,6.0,28.0,3402016,100.0
21,r2qr1k1/p1p2ppp/1b3n2/1p6/8/P3N3/2P1QPPP/R1B2RK1 w -,20.0,-129.0,2925,28,8.0,33.0,21623109,100.0
22,r3k2r/pppb1p2/3p1q1p/2b5/2BpP1p1/1N1P4/PP3PPP/RN1QR1K1 b kq,0.2,383.0,1925,129,23.0,19.0,243065,100.0
22,r3k2r/pppb1p2/3p1q1p/2b5/2BpP1p1/1N1P4/PP3PPP/RN1QR1K1 b kq,1.0,412,2200,64,20,22.0,1056410,100.0
22,r3k2r/pppb1p2/3p1q1p/2b5/2BpP1p1/1N1P4/PP3PPP/RN1QR1K1 b kq,3.0,443.0,2400,63,18.0,24.0,3253449,100.0
22,r3k2r/pppb1p2/3p1q1p/2b5/2BpP1p1/1N1P4/PP3PPP/RN1QR1K1 b kq,20.0,446.0,2875,48,15.0,31.0,21014652,100.0
23,2kr3r/pppb1p2/3p1q1p/2b5/2BpP1p1/1N1P4/PP3PPP/RN1QR1K1 w -,0.2,524.0,1700,32,7.0,16.0,249123,100.0
23,2kr3r/pppb1p2/3p1q1p/2b5/2BpP1p1/1N1P4/PP3PPP/RN1QR1K1 w -,1.0,536.0,1925,36,11.0,19.0,1179085,100.0
23,2kr3r/pppb1p2/3p1q1p/2b5/2BpP1p1/1N1P4/PP3PPP/RN1QR1K1 w -,3.0,522.0,2300,51,19.0,23.0,3117348,100.0
23,2kr3r/pppb1p2/3p1q1p/2b5/2BpP1p1/1N1P4/PP3PPP/RN1QR1K1 w -,20.0,532,2875,41,11.0,31.0,21683593,100.0
24,1r3b1r/p2k1ppp/p4n2/2pb4/8/1P2BN2/P1PN1PPP/R4RK1 b -,0.2,73.0,1700,22,7.0,16.0,227379,100.0
24,1r3b1r/p2k1ppp/p4n2/2pb4/8/1P2BN2/P1PN1PPP/R4RK1 b -,1.0,64.0,2300,48,12.0,23.0,1120593,100.0
24,1r3b1r/p2k1ppp/p4n2/2pb4/8/1P2BN2/P1PN1PPP/R4RK1 b -,3.0,60.0,2600,32,8.0,26.0,2410813,100.0
24,1r3b1r/p2k1ppp/p4n2/2pb4/8/1P2BN2/P1PN1PPP/R4RK1 b -,20.0,64.0,2950,18,4.0,34.0,18450101,100.0
25,1r5r/p2k1ppp/p2b1n2/2pb4/8/1P2BN2/P1PN1PPP/R4RK1 w -,0.2,69.0,2400,22,6.0,24.0,263500,100.0
25,1r5r/p2k1ppp/p2b1n2/2pb4/8/1P2BN2/P1PN1PPP/R4RK1 w -,1.0,68.0,2825,32,8.0,29.0,1159782,100.0
25,1r5r/p2k1ppp/p2b1n2/2pb4/8/1P2BN2/P1PN1PPP/R4RK1 w -,3.0,68.0,2875,36,10.0,31.0,3145375,100.0
25,1r5r/p2k1ppp/p2b1n2/2pb4/8/1P2BN2/P1PN1PPP/R4RK1 w -,20.0,68.0,2975,21,5.0,35.0,18316592,100.0
26,r2q1rk1/p1p2p1p/8/3p1Qp1/3Pn3/4PP2/PP4PP/RN3RK1 b -,0.2,400.0,1925,62,14.0,19.0,267372,100.0
26,r2q1rk1/p1p2p1p/8/3p1Qp1/3Pn3/4PP2/PP4PP/RN3RK1 b -,1.0,418,2300,55,17.0,23.0,1207898,100.0
26,r2q1rk1/p1p2p1p/8/3p1Qp1/3Pn3/4PP2/PP4PP/RN3RK1 b -,3.0,449.0,2600,42,11.0,26.0,3413487,100.0
26,r2q1rk1/p1p2p1p/8/3p1Qp1/3Pn3/4PP2/PP4PP/RN3RK1 b -,20.0,459.0,2875,52,15.0,31.0,21979629,100.0
27,r2q1rk1/p1p2p1p/3n4/3p1Qp1/3P4/4PP2/PP4PP/RN3RK1 w -,0.2,476.0,1925,57,12.0,19.0,295336,100.0
27,r2q1rk1/p1p2p1p/3n4/3p1Qp1/3P4/4PP2/PP4PP/RN3RK1 w -,1.0,471.0,2300,24,7.0,23.0,1280802,100.0
27,r2q1rk1/p1p2p1p/3n4/3p1Qp1/3P4/4PP2/PP4PP/RN3RK1 w -,3.0,460.0,2600,46,11.0,26.0,3520027,100.0
27,r2q1rk1/p1p2p1p/3n4/3p1Qp1/3P4/4PP2/PP4PP/RN3RK1 w -,20.0,467.0,2925,28,7.0,33.0,21780784,100.0
28,r4rk1/pb3ppp/8/2P5/4N3/8/P4PPP/b2K1B1R b -,0.2,-1263.0,1625,87,20.0,15.0,294997,100.0
